session,time,GPS Longitude,GPS Latitude,GPS Speed,GPS Bearing,k22434f,k2241a3,k228334,k22242c,k22436c,ked22ae,k22436b,k2241b6,k2241b4,k222414,k224356,ke16f08,ke3ee8c,ke3f60e,k222885,k2243af,k15b,k221942,k22c218,kea5b10,k22000d,k224181,k224182,k224183,k224184,k224185
1524797319493,1524797330337,-121.95539109,38.36197035,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.42747602,Infinity,Infinity,356.23,56.903946,56.862743,0.0,3.7098694,28.06,0.0,3.7098694,3.7098694,3.7086487,3.712387,3.7111664
1524797319493,1524797331303,-121.95540677,38.3619911,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.42747602,Infinity,Infinity,356.23,56.903946,56.862743,0.0,3.7098694,28.06,0.0,3.7098694,3.7111664,3.7086487,3.7111664,3.7111664
1524797319493,1524797332303,-121.95541896,38.36199397,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.42747602,Infinity,Infinity,356.23,56.903946,56.862743,0.0,3.7098694,28.06,0.0,3.7098694,3.7111664,3.7086487,3.7111664,3.7111664
1524797319493,1524797333303,-121.95541297,38.36198523,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.428196,Infinity,Infinity,356.83,56.90242,56.862743,0.0,3.7098694,28.06,0.0,3.7098694,3.7111664,3.7086487,3.7111664,3.7111664
1524797319493,1524797334302,-121.95539067,38.36196815,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.428196,Infinity,Infinity,356.83,56.90242,56.862743,0.0,3.7098694,28.06,0.0,3.7086487,3.7098694,3.7098694,3.7111664,3.712387
1524797319493,1524797335302,-121.95539609,38.36196739,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.428196,Infinity,Infinity,356.83,56.90242,56.862743,0.0,3.7098694,28.06,0.0,3.7086487,3.7098694,3.7098694,3.7111664,3.712387
1524797319493,1524797336302,-121.95539268,38.36196156,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.428232,Infinity,Infinity,356.86,56.90242,56.862743,0.0,3.7098694,28.06,0.0,3.7086487,3.7098694,3.7098694,3.7111664,3.712387
1524797319493,1524797337303,-121.95538061,38.3619467,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.428232,Infinity,Infinity,356.86,56.90242,56.862743,0.0,3.7098694,28.06,0.0,3.7086487,3.7098694,3.7098694,3.7111664,3.7098694
1524797319493,1524797338302,-121.95537471,38.36194175,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.42710403,Infinity,Infinity,355.92,56.90242,56.862743,0.0,3.7098694,28.06,0.0,3.7086487,3.7098694,3.7098694,3.7098694,3.7098694
1524797319493,1524797339302,-121.9553671,38.36193368,0.0,0.0,20.0,60.666668,54.901962,0.0,0.0,0.0,355.0,0.0,0.0,1.2,1.20012,0.42710403,Infinity,Infinity,355.92,56.90242,56.862743,0.0,3.7098694,28.06,0.0,3.7086487,3.7098694,3.7098694,3.7098694,3.7111664
