session,time,GPS Longitude,GPS Latitude,GPS Speed,GPS Bearing,k2241a3,k228334,k22242c,k2241b6,k2241b4,k222414,ke16f08,ke3f60e,k222885,k15b,k221942,k22c218,kea5b10,k22000d
1524876248474,1524876285560,-121.95497676,38.36213772,0.0,0.0,60.566666,31.37255,100.0,0.0,0.0,3.6,1.241964,Infinity,344.99,34.901962,57.75,3.6023712,1.56,0.0
1524876248474,1524876286559,-121.95497685,38.3621381,0.0,0.0,60.566666,31.37255,1300.0,0.0,0.0,1.5,0.51873,Infinity,345.82,34.901962,9.875,3.6017609,1.56,0.0
1524876248474,1524876287560,-121.95508751,38.36226628,0.0,0.0,60.566666,31.37255,1228.0,0.0,0.0,2.7,0.93285,Infinity,345.5,34.901962,0.5,3.6011505,1.56,0.0
1524876248474,1524876288559,-121.95508751,38.36226628,0.0,0.0,60.566666,31.37255,740.0,0.0,0.0,2.4,0.829944,Infinity,345.81,34.901962,9.0,3.6011505,1.56,0.0
1524876248474,1524876289559,-121.95508747,38.36225317,1.08,135.4,60.566666,31.37255,0.0,0.0,0.0,2.4,0.829944,Infinity,345.81,34.901962,9.0,3.6011505,1.56,0.0
1524876248474,1524876290560,-121.95497689,38.36213816,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,3.9,1.346865,Infinity,345.35,34.901962,96.5,3.6023712,1.56,0.0
1524876248474,1524876291559,-121.95497555,38.36213861,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,3.3,1.141107,Infinity,345.79,34.901962,48.5,3.6023712,1.56,0.0
1524876248474,1524876292559,-121.95496941,38.36213863,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,2.4,0.8292,Infinity,345.5,34.901962,20.75,3.6017609,1.56,0.0
1524876248474,1524876293559,-121.95495291,38.36213901,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,11.4,3.927756,1264.7374,344.54,34.901962,250.25,3.6036682,1.56,3.10559
1524876248474,1524876294560,-121.95495533,38.3621391,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,18.9,6.508971,2095.8887,344.39,34.901962,571.125,3.591156,1.56,3.10559
1524876248474,1524876295559,-121.95495656,38.36213878,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,3.0,1.03605,166.80405,345.35,34.901962,672.25,3.591156,1.56,6.21118
1524876248474,1524876296559,-121.9549644,38.36213935,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,14.1,4.8536434,710.39685,344.23,34.901962,763.875,3.5936737,1.56,6.8322983
